id;label;type
q-mors;mors;query
q-letum;letum;query
q-morior;morior;query
0;Topic 1;topic
1;Topic 2;topic
2;Topic 3;topic
3;Topic 4;topic
4;Topic 5;topic
5;Topic 6;topic
6;Topic 7;topic
7;Topic 8;topic
8;Topic 9;topic
9;Topic 10;topic
10;Topic 11;topic
11;Topic 12;topic
12;Topic 13;topic
13;Topic 14;topic
14;Topic 15;topic
15;Topic 16;topic
16;Topic 17;topic
17;Topic 18;topic
18;Topic 19;topic
19;Topic 20;topic
20;Topic 21;topic
21;Topic 22;topic
22;Topic 23;topic
23;Topic 24;topic
24;Topic 25;topic
25;Topic 26;topic
26;Topic 27;topic
27;Topic 28;topic
28;Topic 29;topic
29;Topic 30;topic
30;Topic 31;topic
31;Topic 32;topic
32;Topic 33;topic
33;Topic 34;topic
34;Topic 35;topic
35;Topic 36;topic
36;Topic 37;topic
37;Topic 38;topic
38;Topic 39;topic
39;Topic 40;topic
40;Topic 41;topic
41;Topic 42;topic
42;Topic 43;topic
43;Topic 44;topic
44;Topic 45;topic
45;Topic 46;topic
46;Topic 47;topic
47;Topic 48;topic
48;Topic 49;topic
49;Topic 50;topic
arruns;arruns;lemma
camilla;camilla;lemma
donec;donec;lemma
uulnere;uulnere;lemma
threissa;threissa;lemma
accam;accam;lemma
camillae;camillae;lemma
arruntem;arruntem;lemma
pharetra;pharetra;lemma
curuata;curuata;lemma
furentum;furentum;lemma
troianosque;troianosque;lemma
dercenni;dercenni;lemma
dianam;dianam;lemma
acca;acca;lemma
tyrrhenique;tyrrhenique;lemma
multatam;multatam;lemma
camillam;camillam;lemma
laetitia;laetitia;lemma
huc;huc;lemma
laomedontiaden;laomedontiaden;lemma
euryalum;euryalum;lemma
cacus2;cacus2;lemma
spelunca;spelunca;lemma
temere;temere;lemma
mare;mare;lemma
palinure;palinure;lemma
atlas;atlas;lemma
palinurus;palinurus;lemma
fames;fames;lemma
protinus;protinus;lemma
omnes;omnes;lemma
simul;simul;lemma
messapi;messapi;lemma
caci;caci;lemma
euryale;euryale;lemma
timor;timor;lemma
bos;bos;lemma
troius;troius;lemma
phenei;phenei;lemma
pallanta;pallanta;lemma
tot;tot;lemma
turnus;turnus;lemma
rogus;rogus;lemma
troianus;troianus;lemma
supra;supra;lemma
auctor;auctor;lemma
drance;drance;lemma
quianam;quianam;lemma
ioui;ioui;lemma
nympha;nympha;lemma
onus;onus;lemma
soror;soror;lemma
teucrorum;teucrorum;lemma
neptune;neptune;lemma
fortasse;fortasse;lemma
rutulorum;rutulorum;lemma
redimibat;redimibat;lemma
creo;creo;lemma
dryope;dryope;lemma
soror;soror;lemma
arruns;arruns;lemma
palinure;palinure;lemma
currus;currus;lemma
stygia;stygia;lemma
turnus;turnus;lemma
iterum;iterum;lemma
discordia;discordia;lemma
murmur;murmur;lemma
ferreus;ferreus;lemma
hinc;hinc;lemma
prospicio;prospicio;lemma
aqua;aqua;lemma
camilla;camilla;lemma
alii;alii;lemma
dedecus;dedecus;lemma
imbrasus;imbrasus;lemma
alsum;alsum;lemma
eumenidum;eumenidum;lemma
palinuri;palinuri;lemma
panthus;panthus;lemma
androgeos;androgeos;lemma
passim;passim;lemma
nautes;nautes;lemma
argiuum;argiuum;lemma
rhipeus;rhipeus;lemma
ubique;ubique;lemma
coroebus;coroebus;lemma
anchisae;anchisae;lemma
danai;danai;lemma
danaum;danaum;lemma
segnities;segnities;lemma
aspris;aspris;lemma
arx;arx;lemma
incendo;incendo;lemma
achiuom;achiuom;lemma
othryades;othryades;lemma
salus;salus;lemma
amens;amens;lemma
mygdonides;mygdonides;lemma
fiducia;fiducia;lemma
arruns;arruns;lemma
pallanta;pallanta;lemma
troiae;troiae;lemma
camilla;camilla;lemma
olympum;olympum;lemma
tot;tot;lemma
quisque;quisque;lemma
custodia;custodia;lemma
donec;donec;lemma
danais;danais;lemma
turni;turni;lemma
turnus;turnus;lemma
turno;turno;lemma
quattuor;quattuor;lemma
hasta;hasta;lemma
pars;pars;lemma
procul;procul;lemma
danaos;danaos;lemma
ignis;ignis;lemma
calchas;calchas;lemma
ithacus;ithacus;lemma
ulixes;ulixes;lemma
danai;danai;lemma
mezentius;mezentius;lemma
danaum;danaum;lemma
hostia;hostia;lemma
troia;troia;lemma
palladis;palladis;lemma
semper;semper;lemma
argolicis;argolicis;lemma
tarchon;tarchon;lemma
argos;argos;lemma
argis;argis;lemma
arruns;arruns;lemma
latagum;latagum;lemma
mimanta;mimanta;lemma
hinc;hinc;lemma
eurypylum;eurypylum;lemma
calchanta;calchanta;lemma
mnestheus;mnestheus;lemma
entellus;entellus;lemma
dareta;dareta;lemma
arruns;arruns;lemma
camilla;camilla;lemma
crethea;crethea;lemma
andromachen;andromachen;lemma
acestes;acestes;lemma
pandarus;pandarus;lemma
eurytion;eurytion;lemma
hyrtacidae;hyrtacidae;lemma
heleno;heleno;lemma
caestus;caestus;lemma
utroque;utroque;lemma
helenus;helenus;lemma
arcus;arcus;lemma
hasta;hasta;lemma
retro;retro;lemma
telum;telum;lemma
simul;simul;lemma
